[INFO] [1789634848.734569019] [vision_manager]: Subscribed to rgb=/rgb, depth=/depth, camera_info=/camera_info, target_frame=wrist_camera_optical_frame
[INFO] [1789634856.259595489] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634856.261012301] [vision_manager]: Book detected: xyz=(-0.108, -0.096, 0.491), center=(250, 178)
[INFO] [1789634856.262467550] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634856.263738646] [vision_manager]: Book detected: xyz=(0.608, 0.003, 0.869), center=(542, 241)
[INFO] [1789634856.265065315] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789634856.402675828] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634856.403683704] [vision_manager]: Book detected: xyz=(-0.108, -0.096, 0.491), center=(250, 178)
[INFO] [1789634856.404625695] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634856.405556418] [vision_manager]: Book detected: xyz=(0.644, 0.000, 0.869), center=(555, 240)
[INFO] [1789634856.406489725] [vision_manager]: Book detected: xyz=(-0.098, -0.021, 0.439), center=(249, 225)
[INFO] [1789634856.521915487] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634856.522830520] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.499), center=(249, 179)
[INFO] [1789634856.523713257] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634856.524602897] [vision_manager]: Book detected: xyz=(0.630, 0.000, 0.869), center=(550, 240)
[INFO] [1789634856.525484472] [vision_manager]: Book detected: xyz=(-0.092, -0.021, 0.411), center=(249, 224)
[INFO] [1789634856.659721644] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634856.661256478] [vision_manager]: Book detected: xyz=(-0.108, -0.096, 0.499), center=(251, 179)
[INFO] [1789634856.662716977] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
